,text,label
0,（十）法律适用和争议解决,0
1,重大事项提示,1
2,十四、公司面临的主要竞争状况、经营方针及战略,17
3,（三）发行人2016-2018年经审计的财务报告,0
4,二、本次募集资金运用计划,0
5,四、公司治理和组织结构,9
6,9、其他对本次债券持有人权益有重大影响的事项；,0
7,（八）有息债务情况,19
8,（四）发行人内部管理制度建立及运行情况,11
9,3、航空业,0
10,4、关联方长期应收款,0
11,九、发行人主营业务情况,14
12,（三）公司主要经营资质及许可资格情况,0
13,二、《债券受托管理协议》的主要条款,0
14,第十四条风险揭示,2
15,5、未来投资支出金额较大的风险,0
16,第二节风险因素,2
17,27、拟上市地：深圳证券交易所。,0
18,（五）资信风险,0
19,（二）本公司的竞争优势,0
20,3、六横经济功能区未来发展规划,17
21,九、公司主营业务经营情况,0
22,3、传统经纪业务在福建省内雄厚的客户基础,0
23,八、关联方及关联交易情况,16
24,四、公司组织结构及权益投资情况,7
25,13、2015年农网改造升级项目（新增）,0
26,十三、公司治理结构,9
27,一、发行人概况,0
28,二、历史沿革,4
29,五、有息负债分析,19
30,（二）流动性风险,0
31,3、调减或停发董事和高级管理人员的工资和奖金；,0
32,16、北京海国永嘉科技有限责任公司（以下简称“海国永嘉”）,0
33,三、募集资金运用对发行人财务状况的影响,0
34,第五节同业竞争与关联交易,16
35,2、公司主要参股公司基本情况,8
36,二、发行人重要权益投资情况,7
37,一、发行人主营业务情况,14
38,（三）律师事务所,0
39,八、发行人董事、监事、高级管理人员情况,12
40,8、其他应收款回收风险,0
41,重大事项提示,1
42,（四）持有发行人股票及债券情况,0
43,十二、发行人关联交易情况,16
44,六、发行人公司治理情况,9
45,7、受限资产规模较大的风险,0
46,第十三条偿债保证措施,3
47,十四、关联方及关联交易,16
48,（一）公司组织结构,0
49,四、偿债保障措施,3
50,（一）关联方关系,0
51,（四）设立专门的偿付工作小组,0
52,（六）发行人的行业地位及竞争优势,0
53,重大事项提示,1
54,（二）发行人董事、监事、高级管理人员简历,13
55,（六）评级风险,0
56,（三）发行人的推进措施,0
57,八、发行人独立经营情况,6
58,十、发行人所处行业现状,15
59,（二）现任董事、监事、高级管理人员简历,13
60,2、公告内容包括但不限于下列事项：,0
61,（七）债券受托管理人,0
62,五、发行人的控股股东及实际控制人情况,5
63,（一）行业发展历史、概况及竞争状况,0
64,（四）发行人独立性情况,6
65,（八）其他事项,0
66,（二）董事、监事、高级管理人员从业简历,13
67,（三）偿债应急保障方案,0
68,五、认购人承诺,0
