text,label
8、资产运营效率分析,0
7、项目经济效益,0
（四）发行人内部控制制度,11
（一）会计政策变更,18
（五）严格履行信息披露义务,0
四、发行人组织结构和重要权益投资情况,7
（一）债券持有人会议的权限范围,0
（一）外部环境较好，为公司发展提供了良好基础,0
（二）担保函的主要内容,0
五、发行人所处行业的地位和竞争优势,15
（三）调取发行人银行征信记录；,0
三、公司组织结构及权益投资情况,7
三、发行人重要权益投资情况,7
六、公司董事、监事及高级管理人员,12
（四）发展战略,17
1、相关财务数据模拟调整的基准日为2019年12月31日；,0
（四）发行人董事、监事及高级管理人员持股情况,0
（三）偿付风险,0
五、发行人对其他企业的重要权益投资情况,7
（四）公司的经营方针及战略,17
1、区位优势明显,0
二、偿债保障措施,3
（十一）付息日,0
（四）资信评级机构出具的资信评级报告,0
第十一条已发行尚未兑付的债券,0
五、或有事项、担保及抵质押情况,0
第五条债券发行网点,0
（三）独立性,6
十一、发展战略目标,17
（三）发行人的独立性,6
七、本公司董事、监事和高级管理人员基本情况,12
（一）资产负债表日后事项,0
1、净资产收益率,0
9、信息披露管理制度,0
2、债务重组,0
2）能投集团长期股权投资调整,0
1、产业链优势,0
1、电力行业概述,0
1、受托管理协议适用于中国法律并依其解释。,0
4、债券存续期间，海通证券应当按照规定和约定履行下列受托管理职责，维护债券持有人的利益：,0
（十一）协议的生效、变更及终止,0
六、有息债务情况,19
一、发行人概况,0
十、发展战略目标,17
（八）证券登记机构,0
（四）政策风险,0
第四节偿债计划及其他偿债保障措施,3
6、分部信息,0
1、发行人应当根据法律、法规和规则及募集说明书的约定，按期足额支付本次债券的利息和本金。,0
（一）股东大会及其运行情况,0
2、自然资源丰富,0
（一）公司设立情况及重大变更事项,4
（一）董事、高级管理人员情况表,12
2、项目批复,0
（四）跟踪评级,0
十、发行人关联交易情况,16
（三）发行人的独立性,6
一、发行人概况,0
3、存货跌价的风险,0
6、其他对本期债券的按期兑付产生重大不利影响的情形。,0
二十、承销团成员：本期债券的主承销商为江海证券有限公司，分销商为西部证券股份有限公司。,0
（三）重大未决诉讼、仲裁事项、或有事项,20
（四）发行人所在主要行业状况和环境,15
1、管理委员会,0
4、财务管理部,0
5、多元化经营的风险,0
2、关联交易的决策程序,0
八、发行人所在行业状况,15
1、不向股东分配利润；,0
（三）发行人未决重大诉讼及仲裁事项,20
4、可供出售金融资产、买入返售金融资产出现减值的风险,0
（二）主营业务情况,14
四、偿债保障措施,3
三、其他偿债保障措施,3
（六）未来业务目标及盈利能力可持续性分析,17
2、本公司所持紫金矿业股权质押情况,0
（六）发行人的经营方针及战略,17
五、未来业务目标及未来经营的可持续性,17
（三）海通证券提出书面辞职；,0
（三）发行人主要资产被查封、扣押、冻结；,0
四、公司权益投资情况,7
（二）董事、监事、高级管理人员简历,13
十一、公司法人治理结构及相关机构运行情况,9
3、六横经济功能区未来发展规划,17
3、新时代证券股份有限公司,0
11、在本次债券存续期内，发行人应尽最大合理努力维持债券上市交易。,0
1、发行人现任董事、监事、高级管理人员如下表所示：,0
18、海通证券有权依据受托管理协议的规定获得受托管理报酬。,0
二、重大未决诉讼或仲裁事项,20
八、公司董事、监事、高级管理人员情况,12
（四）发行人董事、监事及高级管理人员持股情况,0
（三）流动性风险与对策,0
4、关联方应收应付款项,0
十三、发行人主营业务情况,14
5、机构独立,0
(二)公司内部机构设置,10
（五）资信风险,0
第二节风险因素,2
2、当发行人未能按期支付本次债券利息和/或本金时，对是否同意相关解决方案作出决议；,0
十一、发行人内部管理制度,11
八、发行债券前后公司资产负债结构的变化,0
七、发行人治理结构,9
（二）获得主要贷款银行的授信情况,0
九、发行人所在行业状况,15
（二）主要工作经历,0
五、公司董事、监事、高级管理人员基本情况,12
二、发行人重要权益投资情况,7
1、合并报表口径主要财务指标,0
十、簿记建档日：本期债券的簿记建档日为2017年8月23日。,0
（七）《债券持有人会议规则》。,0
3、调减或停发董事和高级管理人员的工资和奖金；,0
（三）资产独立情况,0
一、财务报告编制及审计情况,0
四、发行人董事、监事及高级管理人员基本情况,12
2、突发事件引起的治理结构变动风险,0
12、对外担保金额较大且较为集中的风险,0
（一）本期债券发行与上市交易（如已上市交易）的批准部门对本期债券项下的债务转让承继无异议；,0
（三）人员独立,0
（一）本公司合并报表范围,0
三、公司资信情况,0
三、公司的组织结构及对其他企业的重要权益投资情况,7
7、决定公司内部管理机构的设置；,0
五、发行人的组织结构、股权结构及对其他企业的权益投资情况,10
六、发行人董事、监事和高级管理人员的基本情况,12
（六）影响债务偿还的主要财务指标,0
（三）平阳县自然资源和旅游资源丰富,0
二、发行人历史沿革及报告期内实际控制人变化情况,4
（一）董事、监事与高级管理人员的基本情况,12
四、发行人最近三年及一期的非经常性损益表,0
1、债券发行情况；,0
（六）技术风险,0
（三）会计政策变更以及会计追溯调整,18
1.医药行业现状,0
3、担保范围,0
三、偿债保障措施,3
九、其他重要事项,0
（七）约定回购业务,0
（三）法律意见书；,0
（二）流动资产变现,0
2、召集人、会务负责人姓名及联系方式；,0
（七）未来业务目标,17
6、取得和维持相关资质的风险,0
十六、发行人董事、监事、高级管理人员的基本情况,12
（三）盈利能力的可持续性,0
3、发行人未决诉讼或仲裁事项,20
（五）公司近三年及一期合并财务报表口径下的主要财务指标,0
8、其他控股子公司,0
一、与本期债券相关的风险,0
1、公司的铝产品生产规模在国内乃至国际排名前列，在业内享有良好声誉。,0
（七）未来业务目标及盈利能力的可持续性,17
（一）公司设立,0
（一）本期债券违约的情形,0
（一）董事、监事、高级管理人员基本情况,12
九、发行人所在行业状况,15
8、多行业经营风险,0
（一）外部环境较好，为公司发展提供了良好基础,0
1、相关财务数据模拟调整的基准日为2011年3月31日；,0
（四）严格的信息披露,0
2、发行人主营业务情况,14
三、发行人对其他企业的重要权益投资情况,7
13、北京海房投资管理集团有限公司（以下简称“海房投集团”）,0
1、债券名称：闽西兴杭国有资产投资经营有限公司公开发行2019年公司债券（第一期）。,0
（三）2005年1月，公司股东变更,0
（三）发行人行业地位及竞争优势,0
（四）主要参股公司情况,8
四、财务报表分析,0
十、募集资金监管银行,0
3、项目建设内容,0
（二）所在行业状况,15
26、拟上市交易场所：上海证券交易所。,0
18、募集资金专项账户银行及专项偿债账户银行：中国民生银行股份有限公司成都分行。,0
1、项目建设必要性,0
1、被担保的债券种类、数额,0
二、发行人涉及的未决诉讼或仲裁事项,20
九、发行人主营业务情况,14
（五）会计师事务所,0
2、未决诉讼或仲裁事项,20
（二）发行人实际控制人情况,5
４、应收账款周转率=营业收入/应收账款平均余额,0
（二）发行人组织结构图,0
（二）债券受托管理人的权利和义务,0
第六条认购人承诺,0
（一）控股股东及实际控制人基本情况,5
（四）发行人风险管理和内部控制,11
一、备查文件清单,0
十二、发行人的独立性情况,6
5、项目法人,0
五、发行人董事、监事、高级管理人员的基本情况,12
（二）报告期公司合并范围的变更情况,0
五、有息债务分析,19
2、发行人现任董事、监事、高级管理人员持有发行人股权和债券情况,0
二、发行人历史沿革,4
5、债券持有人出具的委托他人出席债券持有人会议的投票代理委托书应当载明下列内容：,0
十、发行人的独立性,6
（三）未来业务目标,17
七、发行人董事、高级管理人员的基本情况,12
（五）资信风险,0
7、下属子公司的管理制度,0
5、项目法人,0
三、报告期内的关联交易,16
1、会计政策变更,18
第二节风险因素,2
7）长期待摊费用,0
七、发行人董事、监事、高级管理人员基本情况,12
二、公司历史沿革情况,4
2、债券受托管理人报告,0
六、发行人公司治理及内部控制,11
（四）所属行业状况、行业地位及竞争优势,15
（四）本期债券安排所特有的风险,0
（四）发行人的风险控制,0
三、控股股东和实际控制人基本情况,5
（三）发行人所在行业状况,15
2、人力资源管理风险,0
二、偿债保障措施,3
三、关联交易情况,16
（一）董事、监事与高级管理人员的基本情况,12
五、偿债保障措施,3
（二）债券、其他债务融资工具,0
（二）分销商：,0
17、主承销商、债券受托管理人：海通证券股份有限公司。,0
10、董事会办公室,0
（三）董事、监事及高级管理人员对外兼职情况,0
第四条认购与托管,0
1、内部控制风险,0
（五）经营方针及发展战略,17
第二节风险因素,2
四、发行人董事、监事、高级管理人员基本情况,12
（三）公司内部控制制度情况,11
十、发行人的独立性,6
十九、发行人近三年及一期在采购商品/接受劳务环节形成的主要关联交易,16
（一）债券持有人会议的权限范围,0
（2）发行人的参股公司,8
五、偿债保障措施,3
（一）公司治理情况,9
（二）未决诉讼或仲裁,20
